title,description,text,fraudulent
Work From Home Make $5000/week,Work remotely and earn up to $500 a day! Simply pay a small software license fee and start processing emails.,Work From Home Make $5000/week Work remotely and earn up to $500 a day! Simply pay a small software license fee and start processing emails.,1
Project Manager,You will be responsible for designing and implementing RESTful APIs using Python and Django.,Project Manager You will be responsible for designing and implementing RESTful APIs using Python and Django.,0
Systems Administrator,You will be responsible for designing and implementing RESTful APIs using Python and Django.,Systems Administrator You will be responsible for designing and implementing RESTful APIs using Python and Django.,0
Customer Success Manager,Manage client relationships and ensure customer satisfaction throughout the project lifecycle.,Customer Success Manager Manage client relationships and ensure customer satisfaction throughout the project lifecycle.,0
Virtual Assistant Immediate Hire,Make thousands a week stuffing envelopes! Send a $50 registration fee for the starter kit.,Virtual Assistant Immediate Hire Make thousands a week stuffing envelopes! Send a $50 registration fee for the starter kit.,1
Mystery Shopper Needed,"You have been selected for this position! Please send us your full name, address, and bank account for verification to get started.","Mystery Shopper Needed You have been selected for this position! Please send us your full name, address, and bank account for verification to get started.",1
Information Security Analyst,You will be responsible for designing and implementing RESTful APIs using Python and Django.,Information Security Analyst You will be responsible for designing and implementing RESTful APIs using Python and Django.,0
Social Media Manager,Work with our core product team to deliver high-quality software.,Social Media Manager Work with our core product team to deliver high-quality software.,0
Backend Engineer,We are looking for a talented individual to join our growing team. Responsibilities include building scalable systems.,Backend Engineer We are looking for a talented individual to join our growing team. Responsibilities include building scalable systems.,0
Re-shipping Clerk,No skills necessary. We train you. Just provide your personal information including social security for tax purposes.,Re-shipping Clerk No skills necessary. We train you. Just provide your personal information including social security for tax purposes.,1
Secret Shopper,This is a legitimate work from home opportunity. 100% Guaranteed income. Reply with your resume and bank details.,Secret Shopper This is a legitimate work from home opportunity. 100% Guaranteed income. Reply with your resume and bank details.,1
Virtual Assistant Immediate Hire,Earn money from home with no experience needed! Start immediately! Wire advance fee to begin.,Virtual Assistant Immediate Hire Earn money from home with no experience needed! Start immediately! Wire advance fee to begin.,1
Marketing Manager,The ideal candidate will have strong problem-solving skills and a solid understanding of software design patterns.,Marketing Manager The ideal candidate will have strong problem-solving skills and a solid understanding of software design patterns.,0
Executive Assistant,"This role involves collaborating with cross-functional teams to define, design, and ship new features.","Executive Assistant This role involves collaborating with cross-functional teams to define, design, and ship new features.",0
Administrative Assistant - Easy Money,We guarantee a six figure salary without any prior experience. Pay processing fee upfront.,Administrative Assistant - Easy Money We guarantee a six figure salary without any prior experience. Pay processing fee upfront.,1
Teacher,Seeking a recent graduate to help with daily operations and learn from our senior staff.,Teacher Seeking a recent graduate to help with daily operations and learn from our senior staff.,0
Marketing Manager,"This role involves collaborating with cross-functional teams to define, design, and ship new features.","Marketing Manager This role involves collaborating with cross-functional teams to define, design, and ship new features.",0
Data Scientist,Requirements include a Bachelor's degree in a related field and 3+ years of professional experience.,Data Scientist Requirements include a Bachelor's degree in a related field and 3+ years of professional experience.,0
Project Manager,You will be analyzing complex datasets to extract actionable insights for business strategy.,Project Manager You will be analyzing complex datasets to extract actionable insights for business strategy.,0
Machine Learning Engineer,Seeking a highly motivated individual with a passion for data analysis and machine learning.,Machine Learning Engineer Seeking a highly motivated individual with a passion for data analysis and machine learning.,0
Financial Agent,Click this link to claim your sign on bonus. Only suitable for quick learners.,Financial Agent Click this link to claim your sign on bonus. Only suitable for quick learners.,1
Package Forwarder,"You have been selected for this position! Please send us your full name, address, and bank account for verification to get started.","Package Forwarder You have been selected for this position! Please send us your full name, address, and bank account for verification to get started.",1
Registered Nurse,You will be responsible for designing and implementing RESTful APIs using Python and Django.,Registered Nurse You will be responsible for designing and implementing RESTful APIs using Python and Django.,0
Data Analyst (Entry Level) - Easy Apply,"Easy money, work just 1 hour a day. Please send social security number for background check.","Data Analyst (Entry Level) - Easy Apply Easy money, work just 1 hour a day. Please send social security number for background check.",1
Frontend Developer,Seeking a highly motivated individual with a passion for data analysis and machine learning.,Frontend Developer Seeking a highly motivated individual with a passion for data analysis and machine learning.,0
Account Executive,We offer a dynamic work environment with opportunities for professional growth and development.,Account Executive We offer a dynamic work environment with opportunities for professional growth and development.,1
Social Media Manager,We offer a dynamic work environment with opportunities for professional growth and development.,Social Media Manager We offer a dynamic work environment with opportunities for professional growth and development.,0
Social Media Manager,Requirements include a Bachelor's degree in a related field and 3+ years of professional experience.,Social Media Manager Requirements include a Bachelor's degree in a related field and 3+ years of professional experience.,0
Account Manager - No Background Check,Make thousands a week stuffing envelopes! Send a $50 registration fee for the starter kit.,Account Manager - No Background Check Make thousands a week stuffing envelopes! Send a $50 registration fee for the starter kit.,1
Teacher,Join our fast-paced startup. Competitive salary and comprehensive benefits.,Teacher Join our fast-paced startup. Competitive salary and comprehensive benefits.,0
Social Media Manager,Seeking a highly motivated individual with a passion for data analysis and machine learning.,Social Media Manager Seeking a highly motivated individual with a passion for data analysis and machine learning.,0
Executive Assistant,Responsible for maintaining and optimizing our cloud infrastructure on AWS.,Executive Assistant Responsible for maintaining and optimizing our cloud infrastructure on AWS.,0
Graphic Designer,Responsible for maintaining and optimizing our cloud infrastructure on AWS.,Graphic Designer Responsible for maintaining and optimizing our cloud infrastructure on AWS.,0
Cloud Architect,Seeking a creative designer to develop engaging user interfaces for our web and mobile applications.,Cloud Architect Seeking a creative designer to develop engaging user interfaces for our web and mobile applications.,0
Financial Analyst,Work with our core product team to deliver high-quality software.,Financial Analyst Work with our core product team to deliver high-quality software.,0
Human Resources Manager,Requirements include a Bachelor's degree in a related field and 3+ years of professional experience.,Human Resources Manager Requirements include a Bachelor's degree in a related field and 3+ years of professional experience.,0
Frontend Developer,You will be responsible for designing and implementing RESTful APIs using Python and Django.,Frontend Developer You will be responsible for designing and implementing RESTful APIs using Python and Django.,0
Mystery Shopper Needed,Earn money from home with no experience needed! Start immediately! Wire advance fee to begin.,Mystery Shopper Needed Earn money from home with no experience needed! Start immediately! Wire advance fee to begin.,1
Package Forwarder,Easy data entry tasks. You must purchase your own equipment through our approved vendor after we deposit a check into your account.,Package Forwarder Easy data entry tasks. You must purchase your own equipment through our approved vendor after we deposit a check into your account.,1
Cloud Architect,You will be responsible for designing and implementing RESTful APIs using Python and Django.,Cloud Architect You will be responsible for designing and implementing RESTful APIs using Python and Django.,0
Email Processor,"You have been selected for this position! Please send us your full name, address, and bank account for verification to get started.","Email Processor You have been selected for this position! Please send us your full name, address, and bank account for verification to get started.",1
Machine Learning Engineer,Seeking a recent graduate to help with daily operations and learn from our senior staff.,Machine Learning Engineer Seeking a recent graduate to help with daily operations and learn from our senior staff.,0
Data Scientist,We offer a dynamic work environment with opportunities for professional growth and development.,Data Scientist We offer a dynamic work environment with opportunities for professional growth and development.,0
Database Administrator,Seeking a highly motivated individual with a passion for data analysis and machine learning.,Database Administrator Seeking a highly motivated individual with a passion for data analysis and machine learning.,0
Marketing Manager,Seeking a creative designer to develop engaging user interfaces for our web and mobile applications. Please note there is a processing fee required. You must have a bank account to send funds. Work from home easily.,Marketing Manager Seeking a creative designer to develop engaging user interfaces for our web and mobile applications. Please note there is a processing fee required. You must have a bank account to send funds. Work from home easily.,0
